title,level,language,subtitles,price,n_enrolled
Astrophysics: Exploring Exoplanets,Intermediate,English,English,50,8907.0
Unconventional Reservoir Geomechanics,Introductory,English,English,129,5157.0
Strategic Account Management,Introductory,English,English,149,12159.0
PyTorch Basics for Machine Learning,Introductory,English,English,39,0.0
Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,Intermediate,Español,Español,49,0.0
Introduction to Cloud Foundry and Cloud Native Software Architecture,Introductory,English,English,169,0.0
Gestión de compras eficientes para tu empresa,Introductory,Español,Español,25,0.0
Know HBV And HCV,Introductory,English,English,50,0.0
The Supreme Court & American Politics,Introductory,English,English,29,7031.0
Sales Enablement & Analytics,Introductory,English,English,149,6358.0
Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,Intermediate,Español,Español,25,0.0
Liderazgo en la empresa familiar,Intermediate,Español,Español,49,0.0
Comparative Political Systems,Introductory,English,English,59,16015.0
Introducción al Derecho en la vida cotidiana,Introductory,Español,Español,49,11431.0
Cloud Computing for Enterprises,Intermediate,English,English,299,0.0
Diversity and Social Justice in Social Work,Advanced,English,English,199,8542.0
Public Library Marketing and Public Relations,Introductory,English,English,49,0.0
"Healthcare Finance, Economics and Risk",Intermediate,English,English,199,27182.0
Reacciones Químicas y Cálculos Estequiométricos,Introductory,Español,Español,49,38581.0
Seeking Women’s Rights: Colonial Period to the Civil War,Intermediate,English,English,50,7421.0
VideoX: Creating Video for the edX Platform,Introductory,English,English,99,34190.0
Comisión de la Verdad Colombia,Introductory,Español,Español,29,19043.0
MathTrackX: Probability,Introductory,English,English,79,16094.0
Health Informatics for better and safer healthcare,Introductory,English,English,49,7501.0
Sign Language Science: Factors Contributing to Natural Change,Introductory,English,English,99,14003.0
Accounting System Structure and Information Management,Introductory,English,English,50,16467.0
Sustainable Development: The Post-Capitalist Order,Introductory,English,English,49,20406.0
"Health Law, Policy, and Advocacy",Intermediate,English,English,199,9522.0
Introduction to Haptics,Introductory,English,English,129,0.0
Gestión de inventario y portafolio,Introductory,Español,Español,25,8343.0
Understanding Nuclear Energy,Intermediate,English,English,50,10019.0
Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),Introductory,Español,Español,50,0.0
Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,Introductory,English,English,50,8581.0
AP® Calculus BC,Introductory,English,English,49,0.0
Advanced Linear Algebra: Foundations to Frontiers,Advanced,English,English,49,6237.0
Entrepreneurial Opportunities,Introductory,English,English,50,14128.0
Agua en América Latina: Abundancia en medio de la escasez mundial,Introductory,Español,Español,25,5741.0
Understanding Political Concepts,Introductory,English,English,59,22349.0
How to Code: Complex Data,Introductory,English,English,125,0.0
Hypersonics – from Shock Waves to Scramjets,Advanced,English,English,99,0.0
Micro and Nanofabrication (MEMS),Advanced,English,"English, Français",199,0.0
Scientific Methods and Research,Intermediate,English,English,49,27763.0
Customer Centric Marketing for Entrepreneurs,Intermediate,English,English,149,19283.0
Dog Behavior: Problems and Solutions,Intermediate,English,English,169,12674.0
The Business of Mining,Introductory,English,English,139,13183.0
"Social Work Practice in Community Organization, Management and Policy/Evaluation",Advanced,English,English,199,0.0
The Business of Aging in the Longevity Economy,Introductory,English,English,139,0.0
Understanding the Australian Health Care System,Introductory,English,English,59,0.0
