title,level,language,subtitles,price,n_enrolled
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,Introductory,Español,Español,49,65711.0
Design Thinking: Empathizing to Understand the Problem,Intermediate,English,English,299,8644.0
Storytelling in the Workplace,Introductory,English,English,199,21591.0
Marketing Analytics: Price and Promotion Analytics,Intermediate,English,English,249,8192.0
Implementation of Data Structures,Intermediate,English,English,149,7360.0
Activism and Citizen Journalism through Media,Introductory,English,English,49,46607.0
Electric and Conventional Vehicles,Advanced,English,English,249,13480.0
Big Data Fundamentals,Intermediate,English,English,199,5980.0
Sustainable Food Security: The value of systems thinking,Introductory,English,English,49,0.0
Knowledge Management and Big Data in Business,Introductory,English,English,50,10488.0
Uso efectivo del tiempo,Introductory,Español,Español,49,0.0
C Programming: Pointers and Memory Management,Introductory,English,English,49,5410.0
Astrophysics: The Violent Universe,Intermediate,English,English,50,23441.0
Landscape Ecology,Intermediate,English,English,50,0.0
IoT Programming and Big Data,Introductory,English,English,199,0.0
AWS: Getting Started with Cloud Security,Introductory,English,English,49,9762.0
Introducción a la gravedad cuántica de lazos,Introductory,Español,"English, Español",50,17055.0
Introduction to the Music Business,Introductory,English,English,49,0.0
Introducción a la programación en C: Tipos de datos y estructuras,Introductory,Español,Español,49,5719.0
Visualización de Datos y Storytelling,Intermediate,Español,Español,49,16905.0
Negociación exitosa: Estrategias y habilidades esenciales (en español),Introductory,Español,Español,49,0.0
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",Intermediate,English,"English, Русский",49,33656.0
Macroeconomics - The Basics,Introductory,English,English,79,28472.0
Fundamentals of Financial Mathematics and Capital Budgeting,Introductory,English,English,99,37158.0
Gestión participativa: motivación y liderazgo organizacional,Intermediate,Español,Español,79,9144.0
Herramientas de ciencia de datos: uso práctico,Introductory,Español,Español,39,0.0
Bienestar para el desarrollo personal y profesional,Intermediate,Español,"English, Español",29,28337.0
Energía eléctrica: conceptos y principios básicos,Intermediate,Español,Español,49,12918.0
Market Segmentation Analysis,Intermediate,English,English,99,0.0
Pensamento crítico: tomada de decisões fundamentadas,Introductory,Português,Português,149,10551.0
AP® English Literature & Composition – Part 2: Poems,Introductory,English,English,49,5280.0
"Electrical, Optical & Magnetic Materials and Devices",Intermediate,English,English,150,0.0
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),Introductory,English,"English, Français, 中文, 中文",99,5914.0
How to Design a Successful Business Model,Introductory,English,"Deutsch, English, Español, Français",99,10858.0
Ecodesign for Cities and Suburbs,Introductory,English,Sin dato,99,0.0
Agile Software Development,Introductory,English,English,50,18943.0
Diseño de sistemas de información gerencial para intranet con Microsoft Access,Intermediate,Español,Español,49,23703.0
Essentials of Program Strategy and Evaluation,Introductory,English,English,50,8565.0
Gestão de Projetos de Desenvolvimento,Introductory,Português,Português,49,28398.0
Innovation: From Plan to Product,Intermediate,English,English,249,0.0
Introduction to Database Queries,Introductory,English,English,166,43009.0
Climate Change: Carbon Capture and Storage,Introductory,English,English,49,6594.0
Reservoir Geomechanics,Introductory,English,English,129,16028.0
Fundamentos de administración estratégica,Intermediate,Español,Español,49,0.0
IoT System Architecture: Design and Evaluation,Introductory,English,English,99,0.0
Noongar Language and Culture,Introductory,English,English,139,32049.0
Sorting Truth From Fiction: Civic Online Reasoning,Introductory,English,English,49,7246.0
Sustainable Food Security: Food Access,Introductory,English,English,49,12719.0
Bases Matemáticas: Integrales,Introductory,Español,Español,50,16954.0
Epidemics II,Introductory,English,"English, 中文, 中文",139,15914.0
Derechos humanos: Los derechos de las personas refugiadas,Introductory,Español,Español,49,0.0
Sign Language Science: Factors Contributing to Natural Learning,Introductory,English,English,99,0.0
Big Data Analytics,Intermediate,English,English,199,0.0
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",Intermediate,English,English,49,0.0
ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,Introductory,Español,"English, Español",25,8330.0
Achieving Product-Market Fit,Introductory,English,English,199,11426.0
Culture and Law: The East Asian Perspective,Introductory,English,English,49,10604.0
Fundamentals of Market Structure,Introductory,English,English,25,5020.0
Protecting Children in Humanitarian Settings,Intermediate,English,English,50,9977.0
How to Achieve the Sustainable Development Goals,Intermediate,English,"English, Русский",49,20939.0
Aprendizaje y Enseñanza en la Era Digital,Intermediate,Español,Español,49,8784.0
From Atoms to Stars: How Physics Explains Our World,Intermediate,English,"English, Русский",49,10769.0
The Threat of Nuclear Terrorism,Introductory,English,English,50,24301.0
Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),Intermediate,Español,Español,75,14909.0
Liderazgo inclusivo,Intermediate,Español,Español,29,13857.0
مساق اللّغة العربيّة,Introductory,اللغة العربية,اللغة العربية,49,138884.0
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",Intermediate,English,English,79,0.0
Contemporary Issues in World Politics,Introductory,English,English,59,0.0
More Fun with Prime Numbers,Intermediate,English,English,49,7210.0
Enterprise Selling,Introductory,English,English,149,27474.0
Climate Change: Financial Risks and Opportunities,Intermediate,English,English,79,10430.0
Caer o No caer. El Secreto de las Estructuras.,Introductory,Español,Español,29,24130.0
Mandarin Chinese Level 2,Introductory,English,English,149,0.0
Design Thinking: Prototyping and User Testing,Intermediate,English,English,299,0.0
Bases Matemáticas: Derivadas,Introductory,Español,Español,50,10654.0
Buscar en Internet,Introductory,Español,Español,49,36320.0
Big Data and Education,Advanced,English,English,169,11176.0
Model-Based Automotive Systems Engineering,Advanced,English,English,249,0.0
Introduction to Hyperledger Blockchain Technologies,Introductory,English,English,199,11818.0
MathTrackX: Integral Calculus,Introductory,English,English,79,6322.0
Solar Energy Engineering: Comprehensive Exams,Advanced,English,English,250,23560.0
Mercados de capital y participantes claves,Introductory,Español,Español,49,9173.0
Introducción al desarrollo de videojuegos con Unity,Intermediate,Español,Español,50,7304.0
Incorporating Renewable Energy in Electricity Grids,Intermediate,English,English,49,34279.0
Herramientas de la Inteligencia de Negocios,Introductory,Español,Español,49,9002.0
Overview & Management of Parkinson’s Disease,Intermediate,English,English,49,16134.0
Conociendo los costos,Intermediate,Español,Español,49,6938.0
Sprint Planning for Faster Agile Team Delivery,Advanced,English,English,199,0.0
Introduction to Water and Climate,Intermediate,English,English,50,39156.0
The Medieval Icelandic Sagas,Intermediate,English,English,50,5668.0
Visual Presentation,Introductory,English,English,199,6128.0
Community Engagement: Collaborating for Change,Introductory,English,English,49,0.0
Introducción al Internet de las Cosas (IoT),Introductory,Español,Español,50,6951.0
"Proteins: Alignment, Analysis and Structure",Advanced,English,English,249,19603.0
AI Applications with Watson,Intermediate,English,English,99,44821.0
Data Analytics and Visualization in Health Care,Advanced,English,English,249,19717.0
Question Everything: Scientific Thinking in Real Life,Introductory,English,English,59,11501.0
Introduction to Lifestyle Medicine,Introductory,English,English,79,9169.0
"Social Work Practice with Individuals, Families, and Small Groups",Advanced,English,English,199,14998.0
Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,Introductory,中文,"English, 中文",49,19330.0
Compostaje Orgánico en Casa,Introductory,Español,Español,29,5018.0
Financial Analysis for Decision Making,Introductory,English,English,199,25295.0
Lifestyle Medicine Treatments of Chronic Disease – Part 1,Intermediate,English,English,179,22814.0
Building Containerized Applications on AWS,Intermediate,English,English,99,7104.0
Effective Communication for Program and Project Stakeholders and Teams,Introductory,English,English,199,18456.0
Biobased Products for a Sustainable (Bio)economy,Introductory,English,English,50,0.0
Social Work Practice: Advocating Social Justice and Change,Introductory,English,English,49,22136.0
Anthropology of Current World Issues,Introductory,English,English,99,0.0
Buyer Behaviour and Analysis,Advanced,English,English,199,46053.0
Idea Development: Create and Implement Innovative Ideas,Intermediate,English,English,249,14902.0
Analysis of Transport Phenomena I: Mathematical Methods,Advanced,English,English,149,23253.0
Leading the Organization,Intermediate,English,English,249,0.0
"Financial Programming and Policies, Part 2: Program Design",Intermediate,English,English,25,40408.0
Introduction to Open Source Networking Technologies,Introductory,English,English,169,6826.0
Deep Learning Essentials,Intermediate,English,English,149,7869.0
Estadística Aplicada a los Negocios,Introductory,Español,Español,49,12425.0
"English for Journalists, Part 2",Intermediate,English,English,49,9340.0
Teaching & Learning in the Diverse Classroom,Introductory,English,English,99,5102.0
Fundamentals of Microeconomics | Fundamentos de Microeconomía,Introductory,English,"English, Español",129,0.0
Migrating to the AWS Cloud,Intermediate,English,English,49,33021.0
IoT Networks and Protocols,Introductory,English,English,199,20068.0
"American Prophet: The Inner Life and Global Vision of Martin Luther King, Jr.",Introductory,English,English,50,12630.0
China’s First Empires and the Rise of Buddhism,Introductory,English,"English, 中文",139,0.0
Apnea y Trastornos del Sueño,Introductory,Español,Español,49,9868.0
Educación sobre el cambio climático,Introductory,Español,Español,25,0.0
Quantum Mechanics: A First Course,Advanced,English,English,149,23031.0
Urban Sewage Treatment,Intermediate,English,English,50,47166.0
Doing Gender and Why it Matters,Introductory,English,English,99,0.0
Producción musical y su efecto en la composición,Introductory,Español,Español,49,25244.0
"Principle of Semiconductor Devices Part I: Semiconductors, PN Junctions and Bipolar Junction Transistors",Intermediate,English,"English, 中文",70,62362.0
"19th-Century Opera: Meyerbeer, Wagner, & Verdi",Introductory,English,English,99,65955.0
Modelos predictivos con Machine Learning,Intermediate,Español,Español,49,10412.0
Quantitative Marketing Research,Introductory,English,English,50,0.0
Les fondements de la stratégie d’entreprise,Introductory,Français,Français,150,6913.0
Solar Energy: Integration of Photovoltaic Systems in Microgrids,Advanced,English,English,250,7186.0
"Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",Intermediate,English,English,99,15419.0
Probability and Statistics I:  A Gentle Introduction to Probability,Intermediate,English,English,199,8990.0
Introducción a las ecuaciones diferenciales,Intermediate,Español,Español,49,8418.0
Agile Mindset Introduction,Introductory,English,English,49,0.0
Tropical coastal ecosystems,Introductory,English,English,99,13797.0
Modern China’s Foundations: The Manchus and the Qing,Introductory,English,"English, 中文",139,13912.0
El método de ciencia de datos,Introductory,Español,Español,39,10657.0
AWS Developer: Deploying on AWS,Advanced,English,English,149,21507.0
Autonomous Mobile Robots,Intermediate,English,English,50,10129.0
