course_id,course_title,price,num_subscribers,num_lectures,level
517938,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),20,1749,21,All Levels
779678,Finding an Unlimited Amount of Investors,80,1187,6,All Levels
494330,Bookkeeping Made Easy,70,1263,18,Beginner Level
153926,BITCOIN VISUALLY. Part I.,50,115,31,Beginner Level
806122,Learn and Master the Basics of Finance,20,43,39,Beginner Level
725658,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,75,55,27,All Levels
1032234,Mastering the Market : (Technical Analysis + Candlestick),90,18,97,All Levels
996542,Mastering Countertrend Trading : High Profit Trading Pattern,40,14,11,All Levels
756520,Exam 1 Review - Managerial Accounting (U of H),30,47,22,Beginner Level
768028,* An Integrated Approach to the Fundamentals of Accounting,200,134,123,All Levels
73030,Get to grips with the CFA calculator,20,153,14,All Levels
476880,Financial Model Fundamentals-Learn the Essential Skills,75,47,27,All Levels
773060,Forex: Economic News Trading,25,42,11,All Levels
552058,Analyze Real Estate Investments | Financial Modeling,20,120,21,All Levels
509512,Forex For Beginners - A Guide To Currency Trading,20,68,23,Beginner Level
497236,Raise Your Credit Score to 800 Or More....,50,844,40,All Levels
471556,Financial Management Budgeting Techniques,20,2045,10,All Levels
403602,Forex Killing Divergence - How to trade with precision,20,1168,11,All Levels
326948,Working Capital Management for CA / CFA / CPA Exams,25,2342,33,Intermediate Level
537896,Risk Analysis - Capital Budgeting for CA / CS / CFA exams,20,2268,47,All Levels
797762,Corporate Finance 101: Financial Statement Analysis & Ratios,50,967,43,All Levels
674350,Mastering Futures Options for Beginners - Your Top 5 Plays!,200,1185,33,Beginner Level
439362,"Professional Options Trading, Simplified",200,631,21,All Levels
42634,"Advanced Options Concepts - Probability, Greeks, Simulation",60,968,10,Intermediate Level
494800,Accounting Basics - A Complete Study,180,1132,332,All Levels
1222836,Case Studies in Macro Economics,50,114,22,Beginner Level
990440,My Forex Strategy that win consistently over and over,200,204,9,Intermediate Level
109988,Understand Banks & Financial Markets ,30,1548,34,All Levels
815482,Stock Technical Analysis with Python,50,409,46,All Levels
569436,How to Become an Accountant from scratch!,40,1169,15,Beginner Level
803664,How to invest in Gold,50,249,39,Beginner Level
213154,Automate Your Finances,20,690,21,Beginner Level
484132,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),150,1340,272,All Levels
640062,Accounting Made Easy: A Quick Guide to Financial Accounting,95,274,18,All Levels
363404,Futures/Commodity Training (Basics),0,4863,6,Beginner Level
454724,Cost Accounting Marginal Costing Theory and Practice,20,1923,31,All Levels
702278,The Big Volatility Short: The Best Trade On Wall Street!,200,224,16,All Levels
323196,Master Finance in Three Hours,20,721,29,Beginner Level
1225686,Learn Options on Futures for Hedging Options and Stocks,60,51,6,Expert Level
443584,Option selling trading as income source. Beginners friendly,195,1276,61,All Levels
1034074,Introduction to Value Growth Investing,0,2768,10,All Levels
1209694,Become A Forex Trader - Forex trading like a professional,0,1735,19,All Levels
418732,Hedge Fund Trading System,0,8985,12,All Levels
757450,Bulletproof Personal Finance: Expert Asset Allocation,45,1119,18,All Levels
403468,Financial Accounting: The Complete Introductory Crash Course,100,2591,69,All Levels
761808,Learn About Trading Options from a real wallstreet trader,20,1046,12,All Levels
614510,Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,20,2239,7,All Levels
519776,How to Build a Massive Stock Portfolio from Zero!,200,1882,129,All Levels
805336,Introductory Forex Trading Course,0,5931,15,Beginner Level
828254,Budgeting Hacks to Build Wealth!,0,4931,7,Beginner Level
471440,Accounting and Finance for Bankers - A Comprehensive Study,180,3056,316,All Levels
478598,Forex Prep Academy for Beginners-Real trades!,75,1303,44,Beginner Level
394636,Accounting for Deferred Taxes (Professional Course Level),25,2924,11,All Levels
512004,TRADING TRUTHS,50,1405,27,All Levels
1194426,The Binary Institute - Introductory Course in Binary Options,0,1121,6,All Levels
538540,Forex Trading vs Option Trading,95,1776,29,All Levels
406922,How to Invest in Stocks + Billionaire Investing Tips,40,1643,19,All Levels
743914,Value Investing For Beginners,100,801,25,Beginner Level
419308,TRADING TACTICS,145,951,62,All Levels
542028,MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,30,1278,23,Beginner Level
482534,Ultimate Retirement: Build Your Own Dynamic Retirement Plan,50,1184,37,All Levels
716136,build a solid foundation for trading options,20,1115,8,All Levels
737514,Forex Scam: Avoid the scam today,20,1086,28,All Levels
471446,Cost Accounting Crash Course,20,3730,17,All Levels
920424,Option Trading for Rookies: Basic Option Strategies,95,810,61,All Levels
49886,Business Analysis:  Working with Use Cases,90,2338,5,All Levels
292462,Learn to Raise the Funds You Need via Crowdfunding,20,3403,70,All Levels
211874,Business finances,75,4695,20,Beginner Level
754028,Financial Accounting - A Brief Introduction,0,17847,17,Beginner Level
546924,Trading Economic Indicators - Complete Trading System,50,2692,25,Beginner Level
105972,Foundation of Options Trading and Investing,20,6374,14,All Levels
556068,Option Trading - How To Earn If You Can't Predict The Market,145,2305,30,All Levels
1053272,The Financial Analyst Skills Training (FAST) course 2017,100,589,138,All Levels
